file_path	usage_type	context	complexity	length	total_usages	value	Source																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	43	1	./target/debug/semantic_signature_generator	3, 2																		
./basic_block_analyzer.rs	float_literal	literal_usage	1	5	1	100.0	3, 2																		
./basic_block_analyzer.rs; ./io_matrix_analyzer.rs	boolean_literal	literal_usage	1	5	2	false	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	5	1	SPACE	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	5	1	.text	3																		
./code_finder.rs	string_literal	literal_usage	1	56	1	/mnt/data1/meta-introspector/master_canonical_index.json	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	6	1	mapper	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	6	1	tracer	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	7	1	monitor	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	7	1	NEWLINE	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	7	1	scanner	3, 2																		
./io_matrix_analyzer.rs	string_literal	literal_usage	1	7	1	Unknown	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	8	1	analysis	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	8	1	analyzer	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	8	1	detector	3, 2																		
./code_finder.rs	string_literal	literal_usage	1	8	1	https://	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	8	1	profiler	3, 2																		
./code_finder.rs	string_literal	literal_usage	1	9	1	crates.io	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	9	1	extractor	3, 2																		
./basic_block_analyzer.rs	string_literal	literal_usage	1	9	1	inspector	3, 2																		
analysis/value-lattice/length-1/self.json	string literal	Value Lattice cataloging unique identifiers	O(1)	4	Not in source	self	1																		
analysis/value-lattice/length-10/fn_main____.json	string literal	Value Lattice cataloging unique identifiers	O(1)	10	Not in source	fn_main____	1																		
analysis/value-lattice/length-10/Cargo.toml.json	string literal	Value Lattice cataloging unique identifiers	O(1)	10	Not in source	Cargo.toml	1																		
analysis/value-lattice/length-10/rustc_driver.json	string literal	Value Lattice cataloging unique identifiers	O(1)	12	Not in source	rustc_driver	1																		
analysis/value-lattice/length-100/comment.json	comment / natural language	Value Lattice cataloging complex identifiers and comments	O(1)	100+	Not in source	_Unlike___map_node_range_up____this_will_not_return__None__if_any_anchors_or_syntax_contexts_differ.	1																		
000_use_fmt_41_48_255b_to_14b.json	compression report	Code compression and optimization analysis	Not in source	Not in source	Not in source	255b to 14b	1																		
038_mod_atomic_ref_87_91_128b_to_10b.json	compression report	Code compression and optimization analysis	Not in source	Not in source	Not in source	128b to 10b	1																		
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
